,code,name,17ReportX,16ReportX,2007net,2008net,16net,17net,2007roe,2008roe,16roe,17roe
1054,902,新洋丰,112.95,-11.79,602.17,-4777.57,56308.67,68015.07,1.79,-15.15,11.53,12.56
1055,905,厦门港务,0.72,1.76,15053.3,11746.45,20660.79,10865.62,10.97,8.0,6.56,4.13
1056,906,浙商中拓,-2.24,10.35,-7742.6,1210.87,12534.88,17325.14,-24.31,4.24,7.63,9.76
1057,908,景峰医药,28.67,-10.15,565.4,-3348.85,34002.86,16208.56,-0.13,-9.46,15.08,6.89
1058,910,大亚圣象,3.06,2.7,21562.39,20044.33,54111.82,65918.83,13.35,10.37,21.22,20.59
1059,911,南宁糖业,-1.49,0.7,12983.6,2692.39,1897.99,-19305.26,11.83,2.13,1.19,-12.88
1060,912,*ST天化,-3.21,-2.13,46289.43,29863.88,-63720.06,-148770.4,20.08,12.64,-148.13,-237.83
1061,913,钱江摩托,1.07,8.07,7705.05,4065.57,32824.46,8274.37,6.67,3.35,15.21,3.51
1062,915,山大华特,19.81,14.49,1227.63,1369.17,19838.52,24320.09,4.14,4.42,16.62,17.5
1063,918,嘉凯城,-10.61,0.68,-18727.06,59060.89,39883.1,198774.96,0.0,-,17.23,48.82
1064,919,金陵药业,0.45,2.18,30746.57,8259.84,18015.13,13712.65,18.45,4.73,7.23,5.34
1065,920,南方汇通,8.97,4.14,1275.28,2383.09,9865.72,11445.36,1.35,2.06,10.38,14.03
1066,921,海信科龙,7.98,-4.8,25039.54,-22670.16,108773.21,199753.01,0.0,0.0,24.23,35.12
1067,922,*ST佳电,18.82,8.03,640.31,-5437.24,-43666.84,12050.21,3.71,-36.51,-26.43,8.07
1068,925,众合科技,0.15,-2.51,39105.1,4329.96,-10879.34,6021.05,0.0,18.98,-9.24,3.51
1069,926,福星股份,2.66,1.76,31748.93,33036.91,58105.62,84535.54,16.37,12.17,6.14,8.74
1070,927,一汽夏利,-9.56,1.62,17167.94,10003.73,16232.7,-164053.54,6.73,3.04,10.04,-186.83
1071,928,中钢国际,107.38,41.61,389.06,1233.4,51316.57,41775.89,0.41,1.23,15.78,9.37
1072,929,兰州黄河,1.93,-0.83,841.71,3009.86,-2509.36,1623.6,2.2,7.49,-3.38,2.2
1073,930,中粮生化,9.21,2.34,2575.86,5427.23,12707.87,23730.72,1.43,1.44,8.48,14.11
1074,931,中关村,0.16,0.45,8901.82,6052.77,2735.81,1426.16,15.7,9.75,3.27,1.15
1075,932,华菱钢铁,2.56,-1.11,161242.18,95297.35,-105516.68,412091.95,14.88,6.48,-15.61,49.69
1076,935,四川双马,-0.64,1.58,-31591.43,5357.89,8453.89,20366.57,0.0,226.52,3.16,7.23
1077,936,华西股份,2.77,7.9,7066.2,7648.7,60445.1,19539.96,6.26,6.55,15.88,4.17
1078,937,冀中能源,1.53,0.09,69543.1,264435.58,24397.57,106434.07,16.79,41.76,1.32,5.62
1079,948,南天信息,0.67,0.2,3275.75,10196.71,2068.94,2198.45,6.48,12.29,1.44,1.51
1080,949,新乡化纤,0.12,-0.4,26058.26,-28680.39,11501.55,3027.34,17.5052,-19.57,4.12,0.85
1081,950,*ST建峰,7.61,0.97,14544.46,27274.67,26441.71,110626.62,37.89,32.19,4.71,17.7
1082,951,中国重汽,1.25,0.88,71748.48,47286.56,41817.89,89758.07,43.25,20.98,8.88,17.14
1083,952,广济药业,0.57,1.59,18380.17,8909.74,14183.92,10521.16,33.61,13.48,24.32,14.89
1084,953,*ST河化,1.27,1.12,2320.44,-12674.58,-14176.06,2946.24,5.9943,-37.8,-379.54,-
1085,957,中通客车,7.23,21.71,2644.71,2698.13,58581.18,19121.17,5.46,5.28,24.74,7.13
1086,958,东方能源,6.73,-0.88,1006.14,-32293.71,28365.5,6769.96,0.9,-33.59,11.46,2.58
1087,959,首钢股份,3.47,0.98,63760.17,41046.61,40096.4,221065.11,8.4,5.26,1.66,8.7
1088,962,东方钽业,-5.2,0.49,7304.39,5879.8,2900.49,-38002.32,6.17,5.61,1.98,-29.34
1089,963,华东医药,10.28,8.58,17316.02,16860.97,144659.17,177950.61,33.94,25.31,22.19,23.02
1090,965,天保基建,3.89,2.53,10560.21,11466.52,29063.2,41085.96,19.34,6.94,6.39,8.36
1091,966,长源电力,-2.78,-0.48,4365.49,-83537.24,39880.35,-12155.97,3.93,-51.39,11.92,-3.61
1092,967,盈峰环境,8.32,20.93,4240.24,1174.51,24578.99,35265.66,11.19,2.89,7.22,10.06
1093,969,安泰科技,0.43,0.53,13816.89,14825.6,7903.46,5916.97,7.68,7.76,1.79,1.3
1094,970,中科三环,1.72,3.24,16400.68,9785.09,31659.31,28225.93,15.39,8.47,7.91,6.7
