,code,17PriceX,16PriceX
338,600520,2.62,6.68
339,600521,5.3,7.26
340,600522,5.27,6.1
341,600526,1.09,3.08
342,600527,1.05,4.86
343,600528,0.92,1.91
344,600529,1.67,2.44
345,600531,0.74,3.24
346,600532,1.34,4.3
347,600533,0.5,2.49
348,600535,4.53,12.97
349,600536,1.96,6.16
350,600538,0.49,4.62
351,600540,0.87,1.7
352,600543,1.16,2.65
353,600546,0.73,1.56
354,600547,1.57,3.26
355,600548,0.86,3.21
356,600549,1.75,4.72
357,600550,0.23,0.33
358,600555,0.97,3.0
359,600557,1.77,2.46
360,600558,1.28,2.75
361,600559,4.01,9.02
362,600560,1.69,5.5
363,600561,0.86,2.85
364,600562,9.42,39.27
365,600563,3.07,179.0
366,600565,0.89,4.69
367,600566,7.4,18.83
368,600567,1.31,3.02
369,600568,3.99,11.61
370,600569,0.43,0.98
371,600570,5.4,12.7
372,600571,2.9,14.22
373,600572,3.44,12.82
374,600573,0.94,3.12
375,600580,1.3,3.12
376,600581,0.87,1.52
377,600582,0.73,1.5
378,600583,0.47,0.95
379,600585,1.52,2.75
380,600586,0.55,1.95
381,600587,2.61,5.5
382,600588,3.12,3.68
383,600589,0.65,2.56
384,600590,1.55,3.64
385,600592,1.09,3.05
386,600593,2.21,7.92
387,600594,2.46,7.67
388,600595,0.37,1.39
389,600596,0.35,0.8
390,600597,1.29,4.27
391,600598,0.82,1.38
392,600599,1.13,3.12
393,600600,1.07,1.7
394,600601,0.6,1.89
395,600602,1.01,4.17
396,600603,1.14,3.5
397,600604,1.84,7.93
398,600605,0.81,4.44
399,600606,1.02,3.04
400,600609,0.77,3.28
401,600610,1.11,4.91
402,600611,0.57,2.02
403,600612,4.37,inf
404,600613,0.67,3.02
405,600616,0.43,1.55
406,600617,0.74,4.81
407,600618,1.47,4.61
408,600619,1.46,4.42
409,600620,2.55,7.18
410,600621,1.3,3.98
411,600622,2.87,5.85
412,600623,0.84,4.42
413,600624,1.48,2.22
414,600628,0.67,2.44
415,600629,1.23,2.49
416,600630,1.43,2.48
417,600633,2.96,10.65
418,600635,0.57,1.88
419,600637,1.97,9.91
420,600638,0.6,2.18
421,600639,0.89,3.08
422,600640,1.05,2.81
423,600641,1.21,3.7
424,600642,0.59,2.11
425,600644,0.49,1.44
426,600647,3.0,16.95
427,600650,1.03,4.11
428,600651,0.95,3.47
429,600652,1.35,4.44
430,600653,0.54,1.95
431,600658,1.37,6.54
432,600660,2.26,-38.54
433,600661,2.28,7.01
434,600662,0.76,3.94
435,600663,1.61,3.63
436,600665,0.49,2.88
437,600667,2.01,5.12
438,600668,2.52,7.5
439,600674,1.79,2.59
440,600675,0.61,2.17
441,600676,1.0,4.47
442,600677,0.41,3.29
443,600678,1.19,2.89
444,600679,1.7,6.32
445,600680,0.82,5.32
446,600682,6.07,20.12
447,600683,0.62,3.39
448,600684,2.21,8.67
449,600688,0.99,3.28
450,600689,0.8,3.57
451,600690,4.47,10.4
452,600691,1.54,3.19
453,600692,1.13,3.56
454,600693,1.72,3.26
455,600694,0.79,3.08
456,600696,0.86,4.16
457,600697,1.21,2.85
458,600699,4.77,12.88
459,600701,1.78,6.14
460,600702,2.95,4.6
461,600706,1.9,5.95
462,600707,1.14,2.99
463,600708,1.23,2.63
464,600712,2.38,8.1
465,600713,0.96,3.28
466,600714,0.87,3.84
467,600717,0.42,1.35
468,600718,0.79,2.38
469,600719,1.42,4.7
470,600720,1.58,1.85
471,600722,1.4,5.22
472,600723,0.47,3.02
473,600724,0.63,1.7
474,600726,0.47,1.86
475,600727,0.98,2.56
476,600728,2.27,7.93
477,600730,1.34,8.26
478,600731,0.86,3.37
479,600736,0.97,4.22
480,600737,0.44,1.45
481,600738,0.82,3.43
482,600739,0.56,2.3
483,600740,0.97,1.78
484,600741,6.7,-22.15
485,600742,4.33,14.26
486,600743,0.53,2.48
487,600744,0.47,1.75
488,600746,0.7,3.98
489,600748,0.27,1.88
490,600749,1.81,6.69
491,600750,1.74,3.71
492,600751,1.03,6.19
493,600754,2.04,5.14
494,600755,1.26,2.5
495,600756,2.9,8.21
496,600758,0.77,2.95
497,600759,1.05,6.2
498,600760,5.58,6.66
499,600761,0.64,5.27
500,600764,2.58,8.04
501,600765,0.91,2.1
502,600766,1.04,7.02
503,600767,0.86,5.52
504,600769,0.93,4.94
505,600770,0.6,3.46
506,600771,2.11,11.73
507,600774,2.31,7.74
508,600775,0.76,3.71
509,600776,1.03,2.5
510,600777,1.71,6.19
511,600778,0.62,4.97
512,600779,1.86,2.09
513,600780,0.41,1.84
514,600781,1.96,4.49
515,600782,0.81,1.72
516,600783,3.25,6.86
517,600784,1.16,6.36
518,600785,1.51,3.72
519,600787,1.76,5.18
520,600789,1.13,2.85
521,600790,0.8,3.56
522,600791,0.76,2.21
523,600792,0.58,1.81
524,600793,2.23,8.79
525,600795,0.91,1.61
526,600796,0.99,4.71
527,600798,0.69,1.95
528,600801,1.47,1.96
529,600802,0.56,2.67
530,600804,1.25,4.63
531,600805,1.81,8.37
532,600808,0.44,0.89
533,600809,3.71,9.62
534,600810,0.54,2.3
535,600811,0.48,2.3
536,600812,0.47,1.03
537,600815,0.42,1.52
538,600816,2.64,6.1
539,600817,1.13,12.94
540,600819,0.47,1.89
541,600820,1.47,2.44
542,600821,0.64,4.26
543,600822,1.54,4.99
544,600823,0.76,2.58
545,600824,1.03,3.31
546,600825,0.34,1.28
547,600826,1.42,10.51
548,600827,0.73,2.01
549,600828,0.89,3.01
550,600830,0.45,2.98
551,600831,0.65,3.1
552,600833,2.38,6.33
553,600834,0.71,2.78
554,600835,1.16,3.26
555,600836,1.55,1.61
556,600837,0.54,2.4
557,600838,1.27,5.54
558,600839,0.8,2.53
559,600843,1.26,4.61
560,600844,0.54,1.39
561,600845,1.52,3.72
562,600846,2.63,3.97
563,600847,1.66,5.66
564,600848,1.39,3.59
565,600850,2.97,11.54
566,600851,0.78,4.89
567,600853,0.84,2.41
568,600856,2.15,9.62
569,600857,0.97,6.52
570,600858,0.56,1.12
571,600860,0.67,4.02
572,600861,0.61,3.59
573,600863,1.03,4.95
574,600864,0.51,2.6
575,600865,0.64,3.76
576,600866,0.68,2.16
577,600867,9.85,7.29
578,600868,0.65,3.02
579,600869,1.45,5.5
580,600871,0.58,2.65
581,600872,4.23,5.87
582,600873,1.99,9.04
583,600874,1.59,1.91
584,600879,1.03,2.83
585,600880,0.76,2.0
586,600881,0.4,1.68
587,600882,1.09,3.81
588,600883,0.5,4.25
589,600884,2.58,6.72
590,600887,14.91,-31.54
591,600888,0.51,1.65
592,600889,1.1,5.37
593,600891,1.14,5.01
594,600895,1.03,2.01
595,600896,0.51,2.59
596,600897,1.42,2.4
597,600898,1.19,4.31
598,600961,0.33,2.52
599,600962,0.65,3.59
600,600963,0.44,1.47
601,600965,1.58,3.97
602,600966,0.91,1.55
603,600967,2.74,8.23
604,600970,1.59,2.35
605,600971,0.63,1.9
606,600975,1.06,3.94
607,600976,3.14,13.33
608,600980,1.57,4.39
609,600981,0.5,2.68
610,600982,1.18,4.65
611,600983,1.75,2.65
612,600984,0.45,2.81
613,600985,2.52,5.92
614,600986,0.81,4.28
615,600987,4.15,18.7
616,600988,2.48,8.26
617,600990,6.45,16.31
618,600992,1.15,4.12
619,600993,2.56,4.84
620,600995,0.74,2.83
621,600997,0.31,1.35
622,601001,0.43,1.27
623,601002,1.1,1.98
624,601006,0.43,1.5
625,601007,0.97,3.47
626,601008,0.56,1.85
627,601009,1.93,5.06
628,601088,0.42,1.42
629,601099,0.29,1.14
630,601111,0.45,2.06
631,601166,1.29,6.75
632,601169,1.05,3.22
633,601318,1.48,3.31
634,601328,0.58,2.15
635,601333,0.65,1.75
636,601390,0.83,1.81
637,601398,1.07,2.63
638,601588,0.4,1.7
639,601601,0.91,3.9
640,601607,2.07,3.66
641,601628,0.57,1.54
642,601666,0.36,1.08
643,601699,0.95,2.65
644,601857,0.3,0.97
645,601866,0.29,1.52
646,601872,0.4,1.52
647,601919,0.17,0.73
648,601939,1.08,3.08
649,601988,0.86,2.25
650,601998,0.81,2.49
651,000001,1.33,3.16
652,000002,2.18,5.57
653,000004,2.38,12.29
654,000005,0.6,2.73
655,000008,6.22,18.62
656,000009,1.25,5.54
657,000011,2.33,10.74
658,000012,0.97,4.13
659,000016,2.87,2.95
660,000018,2.94,10.68
661,000020,1.98,9.27
662,000021,0.93,4.52
663,000023,1.93,8.99
664,000025,2.55,14.83
665,000026,1.09,5.09
666,000027,0.5,1.95
667,000028,2.86,4.49
668,000032,1.19,3.91
669,000036,1.16,4.76
670,000039,0.97,3.62
671,000043,1.54,13.23
672,000045,1.17,3.44
673,000049,6.79,13.71
674,000055,2.21,6.7
675,000058,0.88,5.66
676,000059,0.86,2.4
677,000060,0.75,2.98
678,000061,0.86,2.96
679,000062,1.62,8.69
680,000063,2.49,1.83
681,000066,1.44,7.92
682,000069,0.9,2.32
683,000070,1.83,6.86
684,000088,0.79,3.17
685,000090,1.38,10.28
686,000096,1.19,4.31
687,000099,0.94,4.18
688,000100,1.57,3.46
689,000150,2.9,10.98
690,000151,1.11,10.29
691,000153,1.15,4.03
692,000157,0.67,2.35
693,000158,1.42,4.42
694,000159,0.82,2.57
695,000301,0.46,1.81
696,000338,1.82,4.35
697,000402,1.03,2.43
698,000404,0.75,2.59
699,000407,1.1,3.09
700,000410,0.51,2.81
701,000413,3.82,9.85
702,000415,1.64,4.9
703,000416,0.65,3.56
704,000417,1.67,2.55
705,000418,6.17,17.72
706,000419,0.9,2.88
707,000420,0.57,3.46
708,000421,0.61,2.96
709,000422,0.26,1.61
710,000423,2.28,6.3
711,000425,1.35,1.44
712,000426,2.26,7.26
713,000428,0.48,2.81
714,000429,0.96,2.41
715,000430,1.13,4.6
716,000488,1.26,3.42
717,000501,1.22,4.85
718,000502,0.7,2.72
719,000503,3.94,11.65
720,000504,2.07,5.38
721,000505,0.46,2.34
722,000507,1.77,3.05
723,000510,1.05,4.64
724,000513,3.02,5.42
725,000514,0.75,2.89
726,000518,1.03,4.06
727,000519,1.62,8.37
728,000521,1.01,3.57
729,000523,1.86,6.51
730,000524,1.28,3.95
731,000525,1.62,1.53
732,000528,0.42,2.05
733,000532,0.68,3.37
734,000534,0.95,6.19
735,000537,1.0,3.29
736,000538,6.86,5.17
737,000539,0.46,1.3
738,000541,1.42,5.83
739,000544,1.4,2.99
740,000545,1.2,2.43
741,000548,0.47,2.57
742,000550,1.24,-69.11
743,000551,1.26,3.84
744,000552,1.03,3.58
745,000553,1.43,2.88
746,000554,0.71,2.65
747,000555,2.82,11.65
748,000559,2.02,39.29
749,000561,1.16,3.29
750,000565,0.59,4.79
751,000567,1.98,10.36
752,000568,1.91,3.63
753,000570,0.63,4.78
754,000572,0.26,1.71
755,000573,0.73,4.93
756,000576,2.25,5.62
757,000581,2.57,32.25
758,000582,0.84,2.62
759,000586,1.22,5.45
760,000587,5.36,14.5
761,000589,0.84,2.03
762,000590,1.69,4.73
763,000591,2.15,4.11
764,000593,1.31,3.48
765,000595,1.18,3.16
766,000596,7.08,24.54
767,000597,0.7,0.83
768,000598,1.66,4.74
769,000599,0.9,2.92
770,000600,0.69,2.66
771,000601,1.12,3.94
772,000605,0.98,2.74
773,000606,1.53,4.81
774,000607,0.93,4.23
775,000608,0.6,3.73
776,000609,0.32,2.08
777,000610,1.36,4.62
778,000611,1.1,2.44
779,000612,0.4,3.11
780,000613,0.9,8.41
781,000616,0.69,3.65
782,000617,0.46,3.3
783,000619,0.82,2.79
784,000623,0.73,2.87
785,000626,3.01,12.64
786,000627,1.49,4.84
787,000628,0.72,4.36
788,000630,0.61,2.6
789,000632,0.79,3.58
790,000636,1.03,4.32
791,000637,0.69,2.5
792,000639,4.45,12.19
793,000650,1.36,4.2
794,000651,97.3,-8.95
795,000655,0.32,1.71
796,000657,0.58,3.84
797,000659,0.67,2.95
798,000661,9.04,7.3
799,000662,1.43,5.83
